question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Palavras Cruzadas_2020,Médio,3.473551424998732,1226,0.005526,AC,0.07570740300070611,20,0,0,0,0,20
Piso da escola,Fácil,14.76182902900473,1696,0.014148,AC,0.04027089400005934,30,0,0,0,0,30
Ônibus,Médio,8.08755776900216,1189,0.007131,AC,0.06667615699916496,19,0,0,0,0,19
Chocolate em barra,Fácil,3.227705140998296,1114,0.005562,AC,0.04236102499999106,28,0,0,0,0,28
Campo Minado,Fácil,2.449326622998342,987,0.003957,AC,0.05730507699990994,48,0,0,0,0,48
Fila_2025,Médio,3.5750529439974343,1182,0.004974,AC,0.161444217999815,26,0,0,0,0,26
Jogo dos Pinos,Fácil,5.366537553003582,1302,0.007614,AC,0.031422390000443556,16,0,0,0,0,16
Diagonal,Médio,14.430809344994486,2324,0.0196679999999999,AC,0.8787638699996023,46,0,0,0,0,46
Sr. Toupeira,Médio,4.381149877997814,1793,0.009123,AC,0.6698880180001652,26,0,0,0,0,26
Sr. Sapo,Difícil,6.038331299001584,1642,0.010446,AC,0.08661822700014454,29,0,0,0,0,29
Duende Perdido,Médio,4.379223452000588,1589,0.008871,AC,0.04032137200010766,20,0,0,0,0,20
Bingo!,Médio,7.28677833200345,1424,0.008748,AC,1.125591902999986,35,0,0,0,0,35
Ponto do meio,Fácil,1.824292573001003,908,0.00306,AC,0.049250098000811704,31,0,0,0,0,31
Game-10,Fácil,2.0021894040037296,1019,0.003801,AC,0.07631171000048198,46,0,0,0,0,46
TV da Vovó,Médio,15.94313232699642,2423,0.020241,WA,0.2690926640007092,0,10,0,0,0,10
Dança Indígena,Difícil,14.16793036400486,2427,0.019185,TLE,3.0,15,0,0,15,0,30
Chuva_2016,Médio,7.301477895998687,1251,0.007881,AC,0.34010742499958724,40,0,0,0,0,40
Dança de Formatura,Médio,6.075153402001888,2219,0.0119849999999999,AC,1.690921168999921,55,0,0,0,0,55
Cubo Preto,Fácil,2.2463473540046834,981,0.003843,AC,0.028909306000059587,11,0,0,0,0,11
Competição de chocolate,Médio,3.892665940002189,939,0.003933,WA,0.07611877999988792,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,4.662471936993825,1350,0.008166,AC,0.7630947539992121,52,0,0,0,0,52
Dominó_2019,Fácil,2.8479297750018304,848,0.0028799999999999,AC,0.05430835999959527,42,0,0,0,0,42
Caminho das Pontes,Difícil,4.485488197999075,1828,0.009672,RE,0.1677380480005013,4,0,26,0,0,30
Macacos me mordam!,Difícil,22.630753772995376,2648,0.026856,WA,3.0,9,8,0,21,0,38
Rodovia_2022,Difícil,29.895408739997947,3239,0.035169,WA,1.9232607209996786,0,13,0,0,0,13
VAR,Fácil,6.985185901001387,1261,0.008535,RE,0.1538356470000508,0,0,41,0,0,41
Computador,Difícil,16.748086490006244,2351,0.022041,AC,1.844100050999259,42,0,0,0,0,42
Pulo do Gato,Médio,3.172020418998727,1207,0.0053609999999999,RE,0.13982404000034876,0,0,47,0,0,47
Semente,Fácil,3.559629440002027,1032,0.005292,AC,0.057655044999592064,40,0,0,0,0,40
Álbum de fotos,Médio,7.891324536001775,1340,0.009468,AC,0.08334086899958493,57,0,0,0,0,57
Toca do Saci,Médio,6.405958544994064,1761,0.010371,WA,0.9021380530002716,33,18,0,0,0,51
Caminhos do reino,Difícil,29.49105849699845,3410,0.032934,WA,3.0,21,10,0,9,0,40
Cartas,Fácil,2.1568061110010603,775,0.002997,AC,0.04480218299977423,30,0,0,0,0,30
Flíper,Fácil,2.345428446002188,845,0.003651,WA,0.02916147300038574,12,3,0,0,0,15
Avião,Médio,2.8975352640045458,1427,0.005733,AC,0.04975714499960304,32,0,0,0,0,32
Medalhas,Fácil,2.2653477689964348,932,0.003816,AC,0.07503846399959002,69,0,0,0,0,69
Elevador_2018,Fácil,31.67107968399796,3156,0.033792,RE,0.11997306699959154,0,0,24,0,0,24
Cubra os Furos,Médio,9.609509025998705,1541,0.0113429999999999,WA,0.12285921999955463,1,8,1,0,0,10
Carro elétrico,Difícil,16.439274733995262,2188,0.017928,AC,0.10620485900017229,19,0,0,0,0,19
Dario e Xerxes,Fácil,13.652862284994626,1679,0.014913,RE,0.14766714699999284,0,0,22,0,0,22
Quadrado Aritmético,Difícil,24.674585547996685,2772,0.025944,WA,0.2470479309995426,3,19,0,0,0,22
O Tabuleiro Esburacado,Fácil,5.092566975996306,1404,0.008064,AC,0.039919757999996364,20,0,0,0,0,20
Retas,Médio,16.26549302299827,2436,0.0207839999999999,TLE,3.0,19,0,0,24,0,43
Viagem,Difícil,8.52521819499816,2213,0.014019,AC,0.0767603260001124,28,0,0,0,0,28
Soma,Médio,4.435584849001316,1044,0.005196,AC,0.8719866989995353,46,0,0,0,0,46
Estoque,Fácil,3.536201497001457,1482,0.006258,AC,0.07347911499982729,23,0,0,0,0,23
Frete,Médio,3.4695731259998865,1389,0.007203,AC,0.05217887500020879,35,0,0,0,0,35
